algorithm,data_path,approach,data_label,join_time,total_time,feature_selection_time,depth,accuracy,train_time,feature_importance,join_path_features,cutoff_threshold,redundancy_threshold,rank
ExtraTrees,table9--credit_amount-table1.csv--credit_amount-table1.csv--credit_amount-table1.csv--credit_amount-table2.csv--credit_amount-table3.csv--credit_amount-table3.csv--credit_amount-table4.csv--credit_amount-table5.csv--credit_amount-table7.csv--credit_amount-table10.csv--credit_amount-table11.csv--credit_amount-table12.csv--credit_amount-table13.csv,MAB,credit,,686.79,686.79,,0.7490719328140214,0,"{'credit/table1.duration': 0.0032800000000000164, 'credit/table10.housing': 0.003279999999999994, 'credit/table10.residence_since': 0.0021200000000000108, 'credit/table5.duration': 0.0021200000000000108, 'credit/table9.age': 0.0012400000000000189, 'credit/table13.foreign_worker': 0.0009200000000000097, 'credit/table13.installment_commitment': 0.0008400000000000185, 'credit/table3.residence_since': 0.0006800000000000139, 'credit/table3.installment_commitment': 0.0006000000000000449, 'credit/table12.property_magnitude': 0.0005600000000000272, 'credit/table1.property_magnitude': 0.00040000000000002257, 'credit/table5.checking_status': 0.00040000000000002257, 'credit/table13.residence_since': 0.00024000000000001798, 'credit/table2.employment': 8.00000000000356e-05, 'credit_amount': 7.999999999999118e-05, 'credit/table2.installment_commitment': 0.0, 'credit/table11.checking_status': -3.999999999997339e-05, 'credit/table3.existing_credits': -3.999999999997339e-05, 'credit/table2.age': -3.999999999999559e-05, 'credit/table11.property_magnitude': -0.0001600000000000046, 'credit/table11.own_telephone': -0.00020000000000000017, 'credit/table12.purpose': -0.00023999999999997358, 'credit/table5.credit_history': -0.00039999999999997817, 'credit/table3.purpose': -0.00043999999999999595, 'credit/table1.checking_status': -0.0005999999999999784, 'credit/table1.installment_commitment': -0.0007199999999999874, 'credit/table1.residence_since': -0.0007599999999999829, 'credit/table4.other_payment_plans': -0.0008399999999999741, 'credit/table1.purpose': -0.0009599999999999831, 'credit/table4.residence_since': -0.0009599999999999831, 'credit/table12.job': -0.001079999999999992, 'credit/table7.other_payment_plans': -0.00132000000000001, 'credit/table10.property_magnitude': -0.0013600000000000057, 'credit/table7.personal_status': -0.0017599999999999617, 'credit/table1.age': -0.0020000000000000018, 'credit/table7.age': -0.0021199999999999886, 'credit/table4.age': -0.003520000000000012}","['credit/table9.age', 'credit_amount', 'class', 'credit/table1.checking_status', 'credit/table1.installment_commitment', 'credit/table1.property_magnitude', 'credit/table1.purpose', 'credit/table1.age', 'credit/table1.residence_since', 'credit/table1.duration', 'credit/table2.installment_commitment', 'credit/table2.age', 'credit/table2.employment', 'credit/table3.installment_commitment', 'credit/table3.purpose', 'credit/table3.residence_since', 'credit/table3.existing_credits', 'credit/table4.other_payment_plans', 'credit/table4.age', 'credit/table4.residence_since', 'credit/table5.checking_status', 'credit/table5.duration', 'credit/table5.credit_history', 'credit/table7.personal_status', 'credit/table7.other_payment_plans', 'credit/table7.age', 'credit/table10.housing', 'credit/table10.property_magnitude', 'credit/table10.residence_since', 'credit/table11.checking_status', 'credit/table11.own_telephone', 'credit/table11.property_magnitude', 'credit/table12.job', 'credit/table12.property_magnitude', 'credit/table12.purpose', 'credit/table13.installment_commitment', 'credit/table13.foreign_worker', 'credit/table13.residence_since']",,,
XGBoost,table9--credit_amount-table1.csv--credit_amount-table1.csv--credit_amount-table1.csv--credit_amount-table2.csv--credit_amount-table3.csv--credit_amount-table3.csv--credit_amount-table4.csv--credit_amount-table5.csv--credit_amount-table7.csv--credit_amount-table10.csv--credit_amount-table11.csv--credit_amount-table12.csv--credit_amount-table13.csv,MAB,credit,,455.49,455.49,,0.6906341285296982,0,"{'credit/table10.housing': 0.01988000000000003, 'credit/table5.credit_history': 0.010200000000000032, 'credit/table7.other_payment_plans': 0.007560000000000034, 'credit/table10.property_magnitude': 0.006120000000000014, 'credit/table12.property_magnitude': 0.004440000000000022, 'credit/table4.other_payment_plans': 0.004280000000000039, 'credit/table3.existing_credits': 0.0031600000000000074, 'credit/table1.duration': 0.002320000000000033, 'credit/table11.own_telephone': 0.0020399999999999975, 'credit/table1.property_magnitude': 0.002000000000000024, 'credit/table3.purpose': 0.001560000000000028, 'credit/table1.purpose': 0.0013600000000000279, 'credit/table12.job': 0.0012800000000000144, 'credit/table5.duration': 0.001040000000000041, 'credit/table3.installment_commitment': 0.0007200000000000317, 'credit/table3.residence_since': 0.00028000000000003575, 'credit/table11.property_magnitude': 8.00000000000356e-05, 'credit/table13.foreign_worker': 0.0, 'credit/table13.residence_since': -7.999999999996898e-05, 'credit/table1.installment_commitment': -0.00023999999999997358, 'credit/table13.installment_commitment': -0.00039999999999997817, 'credit/table10.residence_since': -0.00047999999999999156, 'credit/table2.installment_commitment': -0.001599999999999957, 'credit/table1.age': -0.0021199999999999886, 'credit/table2.age': -0.0027599999999999626, 'credit/table5.checking_status': -0.0039599999999999635, 'credit/table12.purpose': -0.0040799999999999725, 'credit/table4.residence_since': -0.0059199999999999696, 'credit/table4.age': -0.006879999999999953, 'credit/table2.employment': -0.007119999999999971, 'credit/table11.checking_status': -0.007999999999999985, 'credit/table7.age': -0.009559999999999968, 'credit/table1.residence_since': -0.011479999999999957, 'credit/table9.age': -0.016879999999999985, 'credit/table1.checking_status': -0.02291999999999996, 'credit_amount': -0.030200000000000005, 'credit/table7.personal_status': -0.03535999999999997}","['credit/table9.age', 'credit_amount', 'class', 'credit/table1.checking_status', 'credit/table1.age', 'credit/table1.duration', 'credit/table1.purpose', 'credit/table1.property_magnitude', 'credit/table1.residence_since', 'credit/table1.installment_commitment', 'credit/table2.employment', 'credit/table2.age', 'credit/table2.installment_commitment', 'credit/table3.purpose', 'credit/table3.installment_commitment', 'credit/table3.residence_since', 'credit/table3.existing_credits', 'credit/table4.age', 'credit/table4.other_payment_plans', 'credit/table4.residence_since', 'credit/table5.credit_history', 'credit/table5.checking_status', 'credit/table5.duration', 'credit/table7.age', 'credit/table7.other_payment_plans', 'credit/table7.personal_status', 'credit/table10.housing', 'credit/table10.property_magnitude', 'credit/table10.residence_since', 'credit/table11.checking_status', 'credit/table11.property_magnitude', 'credit/table11.own_telephone', 'credit/table12.job', 'credit/table12.property_magnitude', 'credit/table12.purpose', 'credit/table13.foreign_worker', 'credit/table13.installment_commitment', 'credit/table13.residence_since']",,,
LightGBM,table9--credit_amount-table1.csv--credit_amount-table1.csv--credit_amount-table1.csv--credit_amount-table2.csv--credit_amount-table3.csv--credit_amount-table3.csv--credit_amount-table4.csv--credit_amount-table5.csv--credit_amount-table7.csv--credit_amount-table10.csv--credit_amount-table11.csv--credit_amount-table12.csv--credit_amount-table13.csv,MAB,credit,,255.56,255.56,,0.7497717867575463,0,"{'credit_amount': 0.01504000000000003, 'credit/table9.age': 0.00484, 'credit/table4.residence_since': 8.00000000000134e-05, 'credit/table5.checking_status': 4.00000000000178e-05, 'credit/table1.duration': 4.00000000000178e-05, 'credit/table3.installment_commitment': 4.00000000000178e-05, 'credit/table5.duration': 4.00000000000178e-05, 'credit/table12.purpose': 3.999999999999559e-05, 'credit/table7.age': 3.999999999999559e-05, 'credit/table1.age': 2.2204460492503132e-17, 'credit/table13.residence_since': 0.0, 'credit/table12.property_magnitude': 0.0, 'credit/table12.job': 0.0, 'credit/table10.residence_since': 0.0, 'credit/table10.housing': 0.0, 'credit/table10.property_magnitude': 0.0, 'credit/table7.other_payment_plans': 0.0, 'credit/table13.installment_commitment': 0.0, 'credit/table11.property_magnitude': 0.0, 'credit/table3.existing_credits': 0.0, 'credit/table3.residence_since': 0.0, 'credit/table13.foreign_worker': 0.0, 'credit/table2.installment_commitment': 0.0, 'credit/table2.employment': 0.0, 'credit/table2.age': 0.0, 'credit/table1.property_magnitude': 0.0, 'credit/table1.residence_since': 0.0, 'credit/table1.installment_commitment': 0.0, 'credit/table1.purpose': 0.0, 'credit/table11.own_telephone': 0.0, 'credit/table5.credit_history': -3.999999999999559e-05, 'credit/table7.personal_status': -3.999999999999559e-05, 'credit/table3.purpose': -3.999999999999559e-05, 'credit/table11.checking_status': -7.999999999999118e-05, 'credit/table4.other_payment_plans': -7.999999999999118e-05, 'credit/table4.age': -0.00011999999999998679, 'credit/table1.checking_status': -0.00019999999999997797}","['credit/table9.age', 'credit_amount', 'class', 'credit/table1.age', 'credit/table1.checking_status', 'credit/table1.duration', 'credit/table1.purpose', 'credit/table1.installment_commitment', 'credit/table1.residence_since', 'credit/table1.property_magnitude', 'credit/table2.age', 'credit/table2.employment', 'credit/table2.installment_commitment', 'credit/table3.purpose', 'credit/table3.residence_since', 'credit/table3.installment_commitment', 'credit/table3.existing_credits', 'credit/table4.age', 'credit/table4.other_payment_plans', 'credit/table4.residence_since', 'credit/table5.duration', 'credit/table5.credit_history', 'credit/table5.checking_status', 'credit/table7.age', 'credit/table7.other_payment_plans', 'credit/table7.personal_status', 'credit/table10.property_magnitude', 'credit/table10.housing', 'credit/table10.residence_since', 'credit/table11.checking_status', 'credit/table11.own_telephone', 'credit/table11.property_magnitude', 'credit/table12.job', 'credit/table12.purpose', 'credit/table12.property_magnitude', 'credit/table13.installment_commitment', 'credit/table13.foreign_worker', 'credit/table13.residence_since']",,,
RandomForest,table9--credit_amount-table1.csv--credit_amount-table1.csv--credit_amount-table1.csv--credit_amount-table2.csv--credit_amount-table3.csv--credit_amount-table3.csv--credit_amount-table4.csv--credit_amount-table5.csv--credit_amount-table7.csv--credit_amount-table10.csv--credit_amount-table11.csv--credit_amount-table12.csv--credit_amount-table13.csv,MAB,credit,,677.5,677.5,,0.815238558909445,0,"{'credit/table9.age': 0.09151999999999998, 'credit_amount': 0.04727999999999997, 'credit/table1.age': 0.010440000000000027, 'credit/table2.age': 0.008519999999999972, 'credit/table5.credit_history': 0.005359999999999987, 'credit/table1.duration': 0.004960000000000031, 'credit/table1.residence_since': 0.004959999999999987, 'credit/table13.residence_since': 0.004479999999999995, 'credit/table13.installment_commitment': 0.004160000000000008, 'credit/table4.residence_since': 0.00411999999999999, 'credit/table1.purpose': 0.003839999999999999, 'credit/table10.residence_since': 0.0037599999999999856, 'credit/table12.job': 0.0036800000000000166, 'credit/table11.checking_status': 0.0036000000000000034, 'credit/table12.purpose': 0.0032399999999999985, 'credit/table5.duration': 0.002719999999999989, 'credit/table7.personal_status': 0.00244000000000002, 'credit/table11.own_telephone': 0.0024399999999999977, 'credit/table2.installment_commitment': 0.0023600000000000066, 'credit/table10.housing': 0.0022800000000000155, 'credit/table3.purpose': 0.002200000000000002, 'credit/table3.installment_commitment': 0.002159999999999984, 'credit/table7.age': 0.0017199999999999882, 'credit/table12.property_magnitude': 0.001519999999999988, 'credit/table1.property_magnitude': 0.0009199999999999875, 'credit/table4.age': 0.0007600000000000051, 'credit/table3.existing_credits': 0.00040000000000002257, 'credit/table1.installment_commitment': 3.999999999999559e-05, 'credit/table13.foreign_worker': -0.00031999999999998696, 'credit/table3.residence_since': -0.0007200000000000095, 'credit/table4.other_payment_plans': -0.0011199999999999878, 'credit/table7.other_payment_plans': -0.0011999999999999789, 'credit/table10.property_magnitude': -0.001519999999999988, 'credit/table11.property_magnitude': -0.001639999999999997, 'credit/table1.checking_status': -0.005279999999999996, 'credit/table2.employment': -0.006359999999999988, 'credit/table5.checking_status': -0.015760000000000017}","['credit/table9.age', 'credit_amount', 'class', 'credit/table1.checking_status', 'credit/table1.duration', 'credit/table1.purpose', 'credit/table1.age', 'credit/table1.property_magnitude', 'credit/table1.installment_commitment', 'credit/table1.residence_since', 'credit/table2.age', 'credit/table2.employment', 'credit/table2.installment_commitment', 'credit/table3.purpose', 'credit/table3.installment_commitment', 'credit/table3.residence_since', 'credit/table3.existing_credits', 'credit/table4.other_payment_plans', 'credit/table4.age', 'credit/table4.residence_since', 'credit/table5.checking_status', 'credit/table5.duration', 'credit/table5.credit_history', 'credit/table7.age', 'credit/table7.other_payment_plans', 'credit/table7.personal_status', 'credit/table10.housing', 'credit/table10.property_magnitude', 'credit/table10.residence_since', 'credit/table11.checking_status', 'credit/table11.own_telephone', 'credit/table11.property_magnitude', 'credit/table12.job', 'credit/table12.property_magnitude', 'credit/table12.purpose', 'credit/table13.foreign_worker', 'credit/table13.installment_commitment', 'credit/table13.residence_since']",,,
ExtraTrees,table11--V3-table3.csv--V3-table3.csv--V3-table3.csv--V3-table3.csv,MAB,steel,,12.62,12.62,,0.8406169665809768,0,"{'steel/table11.V29': 0.07095115681233932, 'steel/table11.V28': 0.06838046272493573, 'steel/table11.V14': 0.044215938303341876, 'steel/table11.V13': 0.024164524421593846, 'steel/table11.V32': 0.017480719794344422, 'steel/table3.V25': 0.013367609254498692, 'steel/table11.V27': 0.006169665809768632, 'steel/table3.V19': 0.0030848329048843047, 'steel/table3.V6': 0.0025706940874036023, 'steel/table3.V24': 0.0015424164524421523, 'V3': 0.0005141388174807249, 'steel/table3.V4': -0.00257069408740358, 'steel/table3.V5': -0.004627249357326502, 'steel/table3.V9': -0.0051413881748072045, 'steel/table3.V26': -0.006169665809768654, 'steel/table3.V8': -0.006169665809768654, 'steel/table3.V7': -0.009768637532133684}","['steel/table11.V13', 'steel/table11.V14', 'steel/table11.V27', 'steel/table11.V28', 'steel/table11.V29', 'steel/table11.V32', 'V3', 'Class', 'steel/table3.V19', 'steel/table3.V4', 'steel/table3.V25', 'steel/table3.V26', 'steel/table3.V8', 'steel/table3.V9', 'steel/table3.V6', 'steel/table3.V7', 'steel/table3.V5', 'steel/table3.V24']",,,
XGBoost,table11--V3-table3.csv--V3-table3.csv--V3-table3.csv--V3-table3.csv,MAB,steel,,12.09,12.09,,0.8149100257069408,0,"{'steel/table11.V29': 0.08637532133676087, 'steel/table11.V28': 0.06529562982005137, 'steel/table11.V14': 0.04678663239074545, 'steel/table3.V25': 0.03907455012853465, 'steel/table11.V32': 0.022622107969151605, 'steel/table3.V8': 0.010796915167095045, 'V3': 0.008226221079691443, 'steel/table3.V26': 0.00411311053984571, 'steel/table11.V27': 0.0030848329048842825, 'steel/table3.V19': 0.00257069408740358, 'steel/table11.V13': 0.0025706940874035355, 'steel/table3.V4': 0.0, 'steel/table3.V24': -4.4408920985006264e-17, 'steel/table3.V6': -0.0015424164524422191, 'steel/table3.V9': -0.0020565552699229215, 'steel/table3.V5': -0.002056555269922944, 'steel/table3.V7': -0.005141388174807249}","['steel/table11.V13', 'steel/table11.V14', 'steel/table11.V27', 'steel/table11.V28', 'steel/table11.V29', 'steel/table11.V32', 'V3', 'Class', 'steel/table3.V9', 'steel/table3.V25', 'steel/table3.V8', 'steel/table3.V19', 'steel/table3.V26', 'steel/table3.V5', 'steel/table3.V7', 'steel/table3.V6', 'steel/table3.V24', 'steel/table3.V4']",,,
LightGBM,table11--V3-table3.csv--V3-table3.csv--V3-table3.csv--V3-table3.csv,MAB,steel,,17.28,17.28,,0.8483290488431876,0,"{'steel/table11.V29': 0.09408740359897169, 'steel/table11.V14': 0.0668380462724935, 'steel/table11.V28': 0.06426735218508992, 'V3': 0.03393316195372744, 'steel/table3.V26': 0.021593830334190177, 'steel/table3.V25': 0.021593830334190177, 'steel/table11.V32': 0.0195372750642673, 'steel/table3.V8': 0.012853470437017922, 'steel/table3.V9': 0.012339331619537198, 'steel/table11.V13': 0.011825192802056517, 'steel/table3.V24': 0.011825192802056494, 'steel/table3.V5': 0.010282776349614364, 'steel/table3.V19': 0.006169665809768588, 'steel/table11.V27': 0.0035989717223649633, 'steel/table3.V4': 0.0020565552699228105, 'steel/table3.V7': -0.001028277634961472, 'steel/table3.V6': -0.0035989717223650964}","['steel/table11.V13', 'steel/table11.V14', 'steel/table11.V27', 'steel/table11.V28', 'steel/table11.V29', 'steel/table11.V32', 'V3', 'Class', 'steel/table3.V9', 'steel/table3.V26', 'steel/table3.V25', 'steel/table3.V19', 'steel/table3.V8', 'steel/table3.V5', 'steel/table3.V24', 'steel/table3.V7', 'steel/table3.V6', 'steel/table3.V4']",,,
RandomForest,table11--V3-table3.csv--V3-table3.csv--V3-table3.csv--V3-table3.csv,MAB,steel,,13.05,13.05,,0.8200514138817481,0,"{'steel/table11.V29': 0.06940874035989716, 'steel/table11.V28': 0.04524421593830334, 'steel/table11.V14': 0.04113110539845759, 'steel/table11.V13': 0.01285347043701801, 'V3': 0.010796915167095111, 'steel/table3.V19': 0.007712082262210806, 'steel/table3.V25': 0.006169665809768654, 'steel/table11.V32': 0.0051413881748072045, 'steel/table3.V8': 0.003084832904884327, 'steel/table3.V4': 0.0020565552699228773, 'steel/table3.V5': 0.0005141388174807249, 'steel/table3.V24': -0.0005141388174807249, 'steel/table11.V27': -0.0015424164524421747, 'steel/table3.V9': -0.0025706940874036023, 'steel/table3.V6': -0.0025706940874036023, 'steel/table3.V26': -0.010282776349614386, 'steel/table3.V7': -0.010796915167095111}","['steel/table11.V13', 'steel/table11.V14', 'steel/table11.V27', 'steel/table11.V28', 'steel/table11.V29', 'steel/table11.V32', 'V3', 'Class', 'steel/table3.V9', 'steel/table3.V25', 'steel/table3.V26', 'steel/table3.V4', 'steel/table3.V19', 'steel/table3.V5', 'steel/table3.V6', 'steel/table3.V8', 'steel/table3.V7', 'steel/table3.V24']",,,
ExtraTrees,table3,MAB,jannis,,15.34,15.34,,0.4962660646057659,0,"{'jannis/table3.V35': -0.007119999999999993, 'jannis/table3.V38': -0.009319999999999972}","['jannis/table3.V35', 'jannis/table3.V38', 'class']",,,
XGBoost,table3,MAB,jannis,,1.39,1.39,,0.497742271622091,0,"{'jannis/table3.V38': 0.0031200000000000004, 'jannis/table3.V35': -0.004359999999999986}","['jannis/table3.V35', 'jannis/table3.V38', 'class']",,,
LightGBM,table3,MAB,jannis,,1.07,1.07,,0.4948766932962834,0,"{'jannis/table3.V38': -0.005600000000000005, 'jannis/table3.V35': -0.0073999999999999734}","['jannis/table3.V35', 'jannis/table3.V38', 'class']",,,
RandomForest,table3,MAB,jannis,,18.24,18.24,,0.4983501215699896,0,"{'jannis/table3.V38': -0.005199999999999982, 'jannis/table3.V35': -0.005719999999999992}","['jannis/table3.V35', 'jannis/table3.V38', 'class']",,,
ExtraTrees,table1--ParticleID_48-table2.csv--ParticleID_48-table2.csv,MAB,miniboone,,52.96,52.96,,0.8929229201771229,0,"{'miniboone/table1.ParticleID_49': 0.0008399999999999741, 'miniboone/table2.ParticleID_24': 0.0001600000000000046, 'miniboone/table2.ParticleID_26': 0.00015999999999998237, 'miniboone/table2.ParticleID_12': 8.00000000000134e-05, 'miniboone/table2.ParticleID_47': 8.00000000000134e-05, 'miniboone/table2.ParticleID_34': 7.999999999999118e-05, 'miniboone/table2.ParticleID_15': 4.00000000000178e-05, 'miniboone/table2.ParticleID_31': 4.00000000000178e-05, 'miniboone/table2.ParticleID_36': 4.00000000000178e-05, 'miniboone/table2.ParticleID_40': 3.999999999999559e-05, 'miniboone/table2.ParticleID_27': 3.999999999999559e-05, 'miniboone/table2.ParticleID_13': 3.999999999999559e-05, 'miniboone/table2.ParticleID_0': 3.999999999999559e-05, 'miniboone/table2.ParticleID_14': 0.0, 'ParticleID_48': 0.0, 'miniboone/table2.ParticleID_43': 0.0, 'miniboone/table2.ParticleID_41': 0.0, 'miniboone/table2.ParticleID_6': 0.0, 'miniboone/table2.ParticleID_38': 0.0, 'miniboone/table2.ParticleID_10': 0.0, 'miniboone/table2.ParticleID_11': 0.0, 'miniboone/table2.ParticleID_16': 0.0, 'miniboone/table2.ParticleID_30': 0.0, 'miniboone/table2.ParticleID_3': 0.0, 'miniboone/table2.ParticleID_25': 0.0, 'miniboone/table2.ParticleID_23': 0.0, 'miniboone/table2.ParticleID_22': 0.0, 'miniboone/table2.ParticleID_8': 0.0, 'miniboone/table2.ParticleID_19': 0.0, 'miniboone/table2.ParticleID_18': 0.0, 'miniboone/table2.ParticleID_17': 0.0, 'miniboone/table2.ParticleID_49': 0.0, 'miniboone/table2.ParticleID_29': -3.999999999999559e-05, 'miniboone/table2.ParticleID_32': -3.999999999999559e-05, 'miniboone/table2.ParticleID_21': -3.999999999999559e-05, 'miniboone/table2.ParticleID_35': -3.999999999999559e-05, 'miniboone/table2.ParticleID_20': -3.999999999999559e-05, 'miniboone/table2.ParticleID_7': -3.999999999999559e-05, 'miniboone/table2.ParticleID_1': -3.999999999999559e-05, 'miniboone/table2.ParticleID_42': -3.999999999999559e-05, 'miniboone/table2.ParticleID_33': -7.999999999999118e-05, 'miniboone/table2.ParticleID_46': -7.999999999999118e-05, 'miniboone/table2.ParticleID_39': -7.999999999999118e-05, 'miniboone/table2.ParticleID_37': -7.999999999999118e-05, 'miniboone/table2.ParticleID_2': -7.999999999999118e-05, 'miniboone/table2.ParticleID_9': -7.999999999999118e-05}","['miniboone/table1.ParticleID_49', 'miniboone/table1.signal', 'ParticleID_48', 'miniboone/table2.ParticleID_12', 'miniboone/table2.ParticleID_26', 'miniboone/table2.ParticleID_31', 'miniboone/table2.ParticleID_24', 'miniboone/table2.ParticleID_47', 'miniboone/table2.ParticleID_34']",,,
XGBoost,table1--ParticleID_48-table2.csv--ParticleID_48-table2.csv,MAB,miniboone,,41.62,41.62,,0.9063442924879501,0,"{'miniboone/table2.ParticleID_16': 0.010000000000000009, 'miniboone/table1.ParticleID_49': 0.0010399999999999964, 'miniboone/table2.ParticleID_12': 0.0010399999999999964, 'miniboone/table2.ParticleID_2': 0.0008399999999999741, 'miniboone/table2.ParticleID_31': 0.00031999999999998696, 'miniboone/table2.ParticleID_6': 0.00027999999999999136, 'miniboone/table2.ParticleID_0': 0.00024000000000001798, 'miniboone/table2.ParticleID_11': 0.00020000000000000017, 'miniboone/table2.ParticleID_27': 0.0001600000000000046, 'miniboone/table2.ParticleID_49': 0.00015999999999998237, 'ParticleID_48': 0.00015999999999998237, 'miniboone/table2.ParticleID_26': 0.00015999999999998237, 'miniboone/table2.ParticleID_42': 0.00012000000000000899, 'miniboone/table2.ParticleID_24': 0.00012000000000000899, 'miniboone/table2.ParticleID_23': 0.00012000000000000899, 'miniboone/table2.ParticleID_22': 0.00011999999999998679, 'miniboone/table2.ParticleID_29': 0.00011999999999998679, 'miniboone/table2.ParticleID_20': 0.00011999999999998679, 'miniboone/table2.ParticleID_10': 8.00000000000134e-05, 'miniboone/table2.ParticleID_25': 8.00000000000134e-05, 'miniboone/table2.ParticleID_21': 7.999999999999118e-05, 'miniboone/table2.ParticleID_15': 7.999999999999118e-05, 'miniboone/table2.ParticleID_39': 7.999999999999118e-05, 'miniboone/table2.ParticleID_9': 7.999999999999118e-05, 'miniboone/table2.ParticleID_17': 7.999999999999118e-05, 'miniboone/table2.ParticleID_36': 4.00000000000178e-05, 'miniboone/table2.ParticleID_7': 3.999999999999559e-05, 'miniboone/table2.ParticleID_47': 3.999999999999559e-05, 'miniboone/table2.ParticleID_46': 3.999999999999559e-05, 'miniboone/table2.ParticleID_3': 3.999999999999559e-05, 'miniboone/table2.ParticleID_34': 0.0, 'miniboone/table2.ParticleID_38': 0.0, 'miniboone/table2.ParticleID_30': 0.0, 'miniboone/table2.ParticleID_41': 0.0, 'miniboone/table2.ParticleID_43': 0.0, 'miniboone/table2.ParticleID_33': 0.0, 'miniboone/table2.ParticleID_32': 0.0, 'miniboone/table2.ParticleID_14': 0.0, 'miniboone/table2.ParticleID_19': -2.2204460492503132e-17, 'miniboone/table2.ParticleID_35': -3.999999999999559e-05, 'miniboone/table2.ParticleID_37': -3.999999999999559e-05, 'miniboone/table2.ParticleID_18': -3.999999999999559e-05, 'miniboone/table2.ParticleID_1': -3.999999999999559e-05, 'miniboone/table2.ParticleID_8': -3.999999999999559e-05, 'miniboone/table2.ParticleID_40': -3.999999999999559e-05, 'miniboone/table2.ParticleID_13': -7.999999999996898e-05}","['miniboone/table1.ParticleID_49', 'miniboone/table1.signal', 'ParticleID_48', 'miniboone/table2.ParticleID_16', 'miniboone/table2.ParticleID_12', 'miniboone/table2.ParticleID_2', 'miniboone/table2.ParticleID_31', 'miniboone/table2.ParticleID_6', 'miniboone/table2.ParticleID_0']",,,
LightGBM,table1--ParticleID_48-table2.csv--ParticleID_48-table2.csv,MAB,miniboone,,25.39,25.39,,0.9059328343587131,0,"{'miniboone/table2.ParticleID_16': 0.010439999999999982, 'miniboone/table1.ParticleID_49': 0.0010000000000000009, 'miniboone/table2.ParticleID_12': 0.0008000000000000007, 'miniboone/table2.ParticleID_2': 0.0007599999999999829, 'miniboone/table2.ParticleID_24': 0.0003200000000000092, 'miniboone/table2.ParticleID_31': 0.00031999999999998696, 'miniboone/table2.ParticleID_0': 0.00023999999999999578, 'miniboone/table2.ParticleID_29': 0.00023999999999997358, 'miniboone/table2.ParticleID_17': 0.00019999999999997797, 'miniboone/table2.ParticleID_27': 0.0001600000000000046, 'miniboone/table2.ParticleID_23': 0.00011999999999998679, 'miniboone/table2.ParticleID_42': 0.00011999999999998679, 'miniboone/table2.ParticleID_26': 0.00011999999999998679, 'miniboone/table2.ParticleID_6': 0.00011999999999998679, 'miniboone/table2.ParticleID_39': 7.999999999999118e-05, 'miniboone/table2.ParticleID_46': 7.999999999999118e-05, 'miniboone/table2.ParticleID_35': 7.999999999999118e-05, 'miniboone/table2.ParticleID_30': 7.999999999999118e-05, 'miniboone/table2.ParticleID_11': 7.999999999999118e-05, 'miniboone/table2.ParticleID_41': 7.999999999999118e-05, 'miniboone/table2.ParticleID_7': 7.999999999999118e-05, 'miniboone/table2.ParticleID_18': 7.999999999999118e-05, 'miniboone/table2.ParticleID_34': 3.999999999999559e-05, 'miniboone/table2.ParticleID_21': 3.999999999999559e-05, 'miniboone/table2.ParticleID_14': 3.999999999999559e-05, 'miniboone/table2.ParticleID_38': 3.999999999999559e-05, 'miniboone/table2.ParticleID_15': 3.999999999997339e-05, 'miniboone/table2.ParticleID_10': 3.999999999997339e-05, 'miniboone/table2.ParticleID_49': 3.999999999997339e-05, 'miniboone/table2.ParticleID_20': 3.999999999997339e-05, 'miniboone/table2.ParticleID_25': 0.0, 'miniboone/table2.ParticleID_47': 0.0, 'miniboone/table2.ParticleID_1': 0.0, 'miniboone/table2.ParticleID_37': 0.0, 'ParticleID_48': 0.0, 'miniboone/table2.ParticleID_40': 0.0, 'miniboone/table2.ParticleID_33': 0.0, 'miniboone/table2.ParticleID_9': -2.2204460492503132e-17, 'miniboone/table2.ParticleID_3': -3.999999999999559e-05, 'miniboone/table2.ParticleID_19': -3.999999999999559e-05, 'miniboone/table2.ParticleID_43': -4.00000000000178e-05, 'miniboone/table2.ParticleID_13': -4.00000000000178e-05, 'miniboone/table2.ParticleID_36': -4.0000000000040004e-05, 'miniboone/table2.ParticleID_22': -8.00000000000356e-05, 'miniboone/table2.ParticleID_32': -0.0001600000000000046, 'miniboone/table2.ParticleID_8': -0.0001600000000000268}","['miniboone/table1.ParticleID_49', 'miniboone/table1.signal', 'ParticleID_48', 'miniboone/table2.ParticleID_16', 'miniboone/table2.ParticleID_12', 'miniboone/table2.ParticleID_2', 'miniboone/table2.ParticleID_24', 'miniboone/table2.ParticleID_31', 'miniboone/table2.ParticleID_0']",,,
